"","Island","Culmen Length (mm)","Culmen Depth (mm)","Flipper Length (mm)","Body Mass (g)","Sex","Species"
"1","Torgersen",38.1,19.3,192.5,3350,"FEMALE","Adelie"
"2","Dream",39,17.8,190,3325,"FEMALE","Adelie"
"3","Torgersen",36.05,16.5,188,3700,"FEMALE","Adelie"
"4","Biscoe",34.7,18.9,183.5,3700,"FEMALE","Adelie"
"5","Biscoe",39.2,17.4,188.5,3775,"FEMALE","Adelie"
"6","Dream",32.8,18.2,189.5,3450,"FEMALE","Adelie"
"7","Biscoe",35.5,18.6,192.5,3300,"FEMALE","Adelie"
"8","Torgersen",38.45,17.55,183.5,3412.5,"FEMALE","Adelie"
"9","Biscoe",36.15,17.75,190,3000,"FEMALE","Adelie"
"10","Biscoe",35.9,18.5,197.5,3700,"FEMALE","Adelie"
"11","Biscoe",38.15,17.25,192.5,3450,"FEMALE","Adelie"
"12","Biscoe",34.5,18.8,185,3800,"FEMALE","Adelie"
"13","Dream",35.25,18.05,178.5,3225,"FEMALE","Adelie"
"14","Biscoe",38.4,18,190,3400,"FEMALE","Adelie"
"15","Dream",38.55,17.35,184,3300,"FEMALE","Adelie"
"16","Dream",37.4,17.65,190,3100,"FEMALE","Adelie"
"17","Dream",38.7,17.85,192.5,3450,"FEMALE","Adelie"
"18","Biscoe",36.8,18.2,191.5,3337.5,"FEMALE","Adelie"
"19","Biscoe",38.65,17.5,186,3225,"FEMALE","Adelie"
"20","Torgersen",39,20,188,3112.5,"FEMALE","Adelie"
"21","Torgersen",37.6,18.45,190,3300,"FEMALE","Adelie"
"22","Torgersen",37.25,16.7,183.5,3525,"FEMALE","Adelie"
"23","Biscoe",36.4,17.25,190.5,3537.5,"FEMALE","Adelie"
"24","Dream",35.6,17.05,184,2950,"FEMALE","Adelie"
"25","Biscoe",36.2,17.4,189.5,3400,"FEMALE","Adelie"
"26","Dream",37.35,17.3,186,2950,"FEMALE","Adelie"
"27","Biscoe",38.7,17.75,189.5,3362.5,"FEMALE","Adelie"
"28","Dream",38,18.75,189.5,3100,"FEMALE","Adelie"
"29","Dream",35.85,18.5,185,3325,"FEMALE","Adelie"
"30","Biscoe",36.15,17.8,190.5,3087.5,"FEMALE","Adelie"
"31","Torgersen",38.1,18.45,179,3712.5,"FEMALE","Adelie"
"32","Torgersen",35.65,16.5,183.5,3550,"FEMALE","Adelie"
"33","Torgersen",35.1,17.6,188.5,3362.5,"FEMALE","Adelie"
"34","Biscoe",35.15,16.55,189.5,3200,"FEMALE","Adelie"
"35","Dream",36.6,18.2,200,3425,"FEMALE","Adelie"
"36","Torgersen",37.65,18,190.5,3487.5,"FEMALE","Adelie"
"37","Biscoe",37.75,17.4,179,3312.5,"FEMALE","Adelie"
"38","Dream",38.9,18.2,187,3537.5,"FEMALE","Adelie"
"39","Biscoe",38.95,17.95,188,3175,"FEMALE","Adelie"
"40","Torgersen",38.1,17.7,189.5,3075,"FEMALE","Adelie"
"41","Biscoe",38.1,17.15,184,3375,"FEMALE","Adelie"
"42","Biscoe",35.8,16.1,184.5,3700,"FEMALE","Adelie"
"43","Biscoe",40.2,18.2,187.5,3475,"FEMALE","Adelie"
"44","Torgersen",38.85,17.5,184,3175,"FEMALE","Adelie"
"45","Dream",37.45,17.05,184,3750,"FEMALE","Adelie"
"46","Dream",37.25,17.7,192,3412.5,"FEMALE","Adelie"
"47","Biscoe",35.75,17.95,188.5,2987.5,"FEMALE","Adelie"
"48","Dream",37.3,17.5,192.5,3325,"FEMALE","Adelie"
"49","Torgersen",37.55,18.75,189,3275,"FEMALE","Adelie"
"50","Dream",37.05,17.45,184,3125,"FEMALE","Adelie"
"51","Biscoe",35.95,16.95,184,3475,"FEMALE","Adelie"
"52","Torgersen",36.1,17.75,189.5,3187.5,"FEMALE","Adelie"
"53","Torgersen",35.7,17.15,187.5,3400,"FEMALE","Adelie"
"54","Torgersen",38.5,17.25,191,3287.5,"FEMALE","Adelie"
"55","Dream",38.2,17.6,184,3362.5,"FEMALE","Adelie"
"56","Torgersen",38.65,17.8,188.5,3825,"FEMALE","Adelie"
"57","Torgersen",34.85,18.25,193.5,3425,"FEMALE","Adelie"
"58","Torgersen",36.35,17,184.5,3100,"FEMALE","Adelie"
"59","Torgersen",37.05,17.65,186,3475,"FEMALE","Adelie"
"60","Torgersen",36.85,17.75,187,3662.5,"FEMALE","Adelie"
"61","Torgersen",37.6,17.8,187,3325,"FEMALE","Adelie"
"62","Torgersen",39.95,17.2,186,3262.5,"FEMALE","Adelie"
"63","Dream",37.7,18.8,190,3450,"FEMALE","Adelie"
"64","Torgersen",40.4,17.2,186,3300,"FEMALE","Adelie"
"65","Torgersen",36.8,17.1,187,3500,"FEMALE","Adelie"
"66","Dream",36.7,17.4,187,3100,"FEMALE","Adelie"
"67","Biscoe",35.5,16.65,188.5,3300,"FEMALE","Adelie"
"68","Dream",36.65,18.25,184.5,3325,"FEMALE","Adelie"
"69","Dream",40.05,16.85,184.5,3350,"FEMALE","Adelie"
"70","Torgersen",36.7,16.65,192.5,3362.5,"FEMALE","Adelie"
"71","Biscoe",36.65,17.7,187,3500,"FEMALE","Adelie"
"72","Biscoe",36.75,17.2,189,3475,"FEMALE","Adelie"
"73","Torgersen",38.1,18.45,191,3450,"FEMALE","Adelie"
"74","Torgersen",38.35,17.05,189,3100,"FEMALE","Adelie"
"75","Biscoe",37.45,18.15,188,3650,"FEMALE","Adelie"
"76","Torgersen",36.75,18.1,183.5,3300,"FEMALE","Adelie"
"77","Biscoe",36,18.2,184.5,3600,"FEMALE","Adelie"
"78","Dream",36.15,18.95,190.5,3637.5,"FEMALE","Adelie"
"79","Biscoe",37.25,17.5,183,3462.5,"FEMALE","Adelie"
"80","Biscoe",37.05,18.2,188,3212.5,"FEMALE","Adelie"
"81","Torgersen",37.05,17.2,190.5,3700,"FEMALE","Adelie"
"82","Dream",40.95,18.15,196,3425,"FEMALE","Adelie"
"83","Torgersen",38.85,17.65,186.5,3437.5,"FEMALE","Adelie"
"84","Biscoe",36.35,17.15,189.5,3325,"FEMALE","Adelie"
"85","Biscoe",37.15,16.3,188,3575,"FEMALE","Adelie"
