"","Island","Culmen Length (mm)","Culmen Depth (mm)","Flipper Length (mm)","Body Mass (g)","Sex","Species"
"1","Biscoe",41.05,19.7,183,4237.5,"MALE","Adelie"
"2","Dream",39.55,19,193.5,4300,"MALE","Adelie"
"3","Torgersen",40.45,18.95,184,4125,"MALE","Adelie"
"4","Dream",39.95,20.4,189.5,3975,"MALE","Adelie"
"5","Torgersen",39.85,18,196.5,3450,"MALE","Adelie"
"6","Torgersen",41.45,19.3,197.5,3662.5,"MALE","Adelie"
"7","Dream",41.2,18.4,191.5,3725,"MALE","Adelie"
"8","Dream",38.2,18.75,189.5,3825,"MALE","Adelie"
"9","Biscoe",39.25,17.8,198,4237.5,"MALE","Adelie"
"10","Biscoe",40.1,18.7,190,4025,"MALE","Adelie"
"11","Dream",40.4,18.45,191.5,4150,"MALE","Adelie"
"12","Torgersen",36.4,19.2,186,4000,"MALE","Adelie"
"13","Dream",39.45,19.7,190.5,4750,"MALE","Adelie"
"14","Torgersen",42.95,19.55,193.5,4175,"MALE","Adelie"
"15","Biscoe",40.15,18.25,185,3800,"MALE","Adelie"
"16","Torgersen",37.5,19.8,189,3850,"MALE","Adelie"
"17","Torgersen",41.6,19.2,201.5,3875,"MALE","Adelie"
"18","Biscoe",40.85,18.7,192.5,3825,"MALE","Adelie"
"19","Biscoe",36.6,18.5,194.5,4087.5,"MALE","Adelie"
"20","Dream",42.95,20.05,189.5,3937.5,"MALE","Adelie"
"21","Dream",41.25,18.2,187.5,3637.5,"MALE","Adelie"
"22","Torgersen",38.45,18,196,4350,"MALE","Adelie"
"23","Biscoe",39.4,20.1,187,4000,"MALE","Adelie"
"24","Biscoe",41.85,17.95,197,4025,"MALE","Adelie"
"25","Torgersen",42.1,19,194,3925,"MALE","Adelie"
"26","Biscoe",42,19.45,184,4350,"MALE","Adelie"
"27","Torgersen",40.95,18.8,190.5,3925,"MALE","Adelie"
"28","Biscoe",40.8,18.25,192.5,4112.5,"MALE","Adelie"
"29","Dream",37.95,19.75,194,4687.5,"MALE","Adelie"
"30","Dream",46,18.8,197,4212.5,"MALE","Adelie"
"31","Biscoe",42.5,18.8,197.5,4125,"MALE","Adelie"
"32","Biscoe",39.9,19.95,188.5,4275,"MALE","Adelie"
"33","Dream",37.45,19.4,196,3900,"MALE","Adelie"
"34","Biscoe",40.15,19,185.5,3975,"MALE","Adelie"
"35","Dream",38.55,20.2,192.5,4362.5,"MALE","Adelie"
"36","Biscoe",42.4,19.15,196.5,4050,"MALE","Adelie"
"37","Biscoe",40.1,19.45,197.5,4187.5,"MALE","Adelie"
"38","Biscoe",37.25,18.55,189,4125,"MALE","Adelie"
"39","Torgersen",41.15,18.3,194.5,3625,"MALE","Adelie"
"40","Biscoe",42.6,18.8,189,3950,"MALE","Adelie"
"41","Torgersen",41.55,18.85,190.5,3800,"MALE","Adelie"
"42","Torgersen",42.4,18.5,187.5,3700,"MALE","Adelie"
"43","Torgersen",39.6,19.4,194.5,4075,"MALE","Adelie"
"44","Torgersen",41.65,18.95,199,4125,"MALE","Adelie"
"45","Torgersen",36.4,18.9,198,4150,"MALE","Adelie"
"46","Torgersen",40.95,18.65,196,4187.5,"MALE","Adelie"
"47","Dream",40.2,17.4,188.5,4250,"MALE","Adelie"
"48","Dream",37.95,20,188.5,3712.5,"MALE","Adelie"
"49","Torgersen",42.4,20.75,196,4012.5,"MALE","Adelie"
"50","Biscoe",40,20.15,195,3950,"MALE","Adelie"
"51","Dream",42.6,19.6,186.5,3762.5,"MALE","Adelie"
"52","Biscoe",40.45,18.85,190.5,4175,"MALE","Adelie"
"53","Dream",40.5,17.95,192,4125,"MALE","Adelie"
"54","Dream",41.3,20.3,193.5,3750,"MALE","Adelie"
"55","Torgersen",42.8,18.95,193,4000,"MALE","Adelie"
"56","Dream",39.65,18.55,188,4375,"MALE","Adelie"
"57","Biscoe",40.95,18.45,194,4200,"MALE","Adelie"
"58","Biscoe",41.6,19.1,190.5,4000,"MALE","Adelie"
"59","Biscoe",42.35,21.1,193.5,4450,"MALE","Adelie"
"60","Dream",41.7,19.2,201,3650,"MALE","Adelie"
"61","Biscoe",42.4,19.15,193,4237.5,"MALE","Adelie"
"62","Biscoe",40.25,20.7,181.5,4275,"MALE","Adelie"
"63","Dream",41.45,18.6,196,4100,"MALE","Adelie"
"64","Torgersen",40.4,19.4,195,3775,"MALE","Adelie"
"65","Torgersen",42.15,17.85,191.5,4325,"MALE","Adelie"
"66","Dream",42.6,19.25,201.5,4125,"MALE","Adelie"
"67","Dream",41.65,18.5,191.5,3962.5,"MALE","Adelie"
"68","Torgersen",39.5,19.15,186.5,4187.5,"MALE","Adelie"
"69","Torgersen",44.25,17.65,195,4137.5,"MALE","Adelie"
"70","Dream",40.85,18.8,188,4050,"MALE","Adelie"
"71","Torgersen",39.05,18.6,196,4100,"MALE","Adelie"
"72","Torgersen",42.6,20.7,204.5,4537.5,"MALE","Adelie"
"73","Torgersen",41.45,18.3,190.5,4000,"MALE","Adelie"
"74","Torgersen",39.65,18.6,192.5,3725,"MALE","Adelie"
"75","Dream",39.9,17.95,187,3850,"MALE","Adelie"
"76","Dream",38.45,19.65,201,3875,"MALE","Adelie"
"77","Biscoe",39.35,19.25,188.5,4225,"MALE","Adelie"
"78","Dream",41.45,17.6,195,3775,"MALE","Adelie"
"79","Torgersen",40.6,19.2,197,4325,"MALE","Adelie"
"80","Dream",40.7,18.75,186,4012.5,"MALE","Adelie"
"81","Dream",39.8,20.1,194,3800,"MALE","Adelie"
"82","Torgersen",44.4,19.8,193,4425,"MALE","Adelie"
"83","Dream",40.95,18.85,186.5,3875,"MALE","Adelie"
"84","Biscoe",39.3,18.95,193,3625,"MALE","Adelie"
"85","Biscoe",42.6,18.65,191.5,3750,"MALE","Adelie"
"86","Dream",43.6,18.1,199,3812.5,"MALE","Adelie"
"87","Dream",41.95,18.95,194,3975,"MALE","Adelie"
"88","Torgersen",40,19.1,194.5,4050,"MALE","Adelie"
"89","Dream",43.95,18.8,190,4350,"MALE","Adelie"
"90","Torgersen",43.1,18.6,197,4050,"MALE","Adelie"
"91","Dream",41.05,19.15,193.5,3775,"MALE","Adelie"
"92","Dream",41.45,19.35,196,3750,"MALE","Adelie"
"93","Dream",41.4,20.3,191.5,4275,"MALE","Adelie"
"94","Biscoe",39.4,18.8,189,4537.5,"MALE","Adelie"
"95","Dream",37.7,19.05,190,4225,"MALE","Adelie"
"96","Dream",40,19.3,186.5,3875,"MALE","Adelie"
"97","Torgersen",40.9,18.6,196,4450,"MALE","Adelie"
"98","Torgersen",36.75,19.25,189.5,4100,"MALE","Adelie"
"99","Torgersen",41.1,19,190,4512.5,"MALE","Adelie"
"100","Dream",39.75,20,195,3950,"MALE","Adelie"
"101","Torgersen",38.3,19.1,185,3900,"MALE","Adelie"
"102","Dream",38.65,19.15,194,4425,"MALE","Adelie"
"103","Dream",38.45,19.05,187,3825,"MALE","Adelie"
"104","Dream",42.15,18.35,182,3825,"MALE","Adelie"
"105","Biscoe",41.95,18.1,196,4025,"MALE","Adelie"
"106","Biscoe",41.5,18.5,191.5,3412.5,"MALE","Adelie"
"107","Torgersen",39.45,18.15,194,3937.5,"MALE","Adelie"
"108","Dream",42.6,19.25,190.5,3925,"MALE","Adelie"
"109","Torgersen",41,18.75,186,3975,"MALE","Adelie"
"110","Torgersen",43.65,19.75,194,3925,"MALE","Adelie"
