"","Island","Culmen Length (mm)","Culmen Depth (mm)","Flipper Length (mm)","Body Mass (g)","Sex"
"1","Torgersen",39.1,18.7,181,3750,"MALE"
"2","Torgersen",39.5,17.4,186,3800,"FEMALE"
"3","Torgersen",40.3,18,195,3250,"FEMALE"
"4","Torgersen",36.7,19.3,193,3450,"FEMALE"
"5","Torgersen",39.3,20.6,190,3650,"MALE"
"6","Torgersen",38.9,17.8,181,3625,"FEMALE"
"7","Torgersen",39.2,19.6,195,4675,"MALE"
"8","Torgersen",41.1,17.6,182,3200,"FEMALE"
"9","Torgersen",38.6,21.2,191,3800,"MALE"
"10","Torgersen",34.6,21.1,198,4400,"MALE"
"11","Torgersen",36.6,17.8,185,3700,"FEMALE"
"12","Torgersen",38.7,19,195,3450,"FEMALE"
"13","Torgersen",42.5,20.7,197,4500,"MALE"
"14","Torgersen",34.4,18.4,184,3325,"FEMALE"
"15","Torgersen",46,21.5,194,4200,"MALE"
"16","Biscoe",37.8,18.3,174,3400,"FEMALE"
"17","Biscoe",37.7,18.7,180,3600,"MALE"
"18","Biscoe",35.9,19.2,189,3800,"FEMALE"
"19","Biscoe",38.2,18.1,185,3950,"MALE"
"20","Biscoe",38.8,17.2,180,3800,"MALE"
"21","Biscoe",35.3,18.9,187,3800,"FEMALE"
"22","Biscoe",40.6,18.6,183,3550,"MALE"
"23","Biscoe",40.5,17.9,187,3200,"FEMALE"
"24","Biscoe",37.9,18.6,172,3150,"FEMALE"
"25","Biscoe",40.5,18.9,180,3950,"MALE"
"26","Dream",39.5,16.7,178,3250,"FEMALE"
"27","Dream",37.2,18.1,178,3900,"MALE"
"28","Dream",39.5,17.8,188,3300,"FEMALE"
"29","Dream",40.9,18.9,184,3900,"MALE"
"30","Dream",36.4,17,195,3325,"FEMALE"
"31","Dream",39.2,21.1,196,4150,"MALE"
"32","Dream",38.8,20,190,3950,"MALE"
"33","Dream",42.2,18.5,180,3550,"FEMALE"
"34","Dream",37.6,19.3,181,3300,"FEMALE"
"35","Dream",39.8,19.1,184,4650,"MALE"
"36","Dream",36.5,18,182,3150,"FEMALE"
"37","Dream",40.8,18.4,195,3900,"MALE"
"38","Dream",36,18.5,186,3100,"FEMALE"
"39","Dream",44.1,19.7,196,4400,"MALE"
"40","Dream",37,16.9,185,3000,"FEMALE"
"41","Dream",39.6,18.8,190,4600,"MALE"
"42","Dream",41.1,19,182,3425,"MALE"
"43","Dream",36,17.9,190,3450,"FEMALE"
"44","Dream",42.3,21.2,191,4150,"MALE"
"45","Biscoe",39.6,17.7,186,3500,"FEMALE"
"46","Biscoe",40.1,18.9,188,4300,"MALE"
"47","Biscoe",35,17.9,190,3450,"FEMALE"
"48","Biscoe",42,19.5,200,4050,"MALE"
"49","Biscoe",34.5,18.1,187,2900,"FEMALE"
"50","Biscoe",41.4,18.6,191,3700,"MALE"
"51","Biscoe",39,17.5,186,3550,"FEMALE"
"52","Biscoe",40.6,18.8,193,3800,"MALE"
"53","Biscoe",36.5,16.6,181,2850,"FEMALE"
"54","Biscoe",37.6,19.1,194,3750,"MALE"
"55","Biscoe",35.7,16.9,185,3150,"FEMALE"
"56","Biscoe",41.3,21.1,195,4400,"MALE"
"57","Biscoe",37.6,17,185,3600,"FEMALE"
"58","Biscoe",41.1,18.2,192,4050,"MALE"
"59","Biscoe",36.4,17.1,184,2850,"FEMALE"
"60","Biscoe",41.6,18,192,3950,"MALE"
"61","Biscoe",35.5,16.2,195,3350,"FEMALE"
"62","Biscoe",41.1,19.1,188,4100,"MALE"
"63","Torgersen",35.9,16.6,190,3050,"FEMALE"
"64","Torgersen",41.8,19.4,198,4450,"MALE"
"65","Torgersen",33.5,19,190,3600,"FEMALE"
"66","Torgersen",39.7,18.4,190,3900,"MALE"
"67","Torgersen",39.6,17.2,196,3550,"FEMALE"
"68","Torgersen",45.8,18.9,197,4150,"MALE"
"69","Torgersen",35.5,17.5,190,3700,"FEMALE"
