"","Island","Culmen Length (mm)","Culmen Depth (mm)","Flipper Length (mm)","Body Mass (g)","Sex"
"1","Torgersen",39.5,17.4,186,3800,"FEMALE"
"2","Torgersen",40.3,18,195,3250,"FEMALE"
"3","Torgersen",36.7,19.3,193,3450,"FEMALE"
"4","Torgersen",38.9,17.8,181,3625,"FEMALE"
"5","Torgersen",41.1,17.6,182,3200,"FEMALE"
"6","Torgersen",36.6,17.8,185,3700,"FEMALE"
"7","Torgersen",38.7,19,195,3450,"FEMALE"
"8","Torgersen",34.4,18.4,184,3325,"FEMALE"
"9","Biscoe",37.8,18.3,174,3400,"FEMALE"
"10","Biscoe",35.9,19.2,189,3800,"FEMALE"
"11","Biscoe",35.3,18.9,187,3800,"FEMALE"
"12","Biscoe",40.5,17.9,187,3200,"FEMALE"
"13","Biscoe",37.9,18.6,172,3150,"FEMALE"
"14","Dream",39.5,16.7,178,3250,"FEMALE"
"15","Dream",39.5,17.8,188,3300,"FEMALE"
"16","Dream",36.4,17,195,3325,"FEMALE"
"17","Dream",42.2,18.5,180,3550,"FEMALE"
"18","Dream",37.6,19.3,181,3300,"FEMALE"
"19","Dream",36.5,18,182,3150,"FEMALE"
"20","Dream",36,18.5,186,3100,"FEMALE"
"21","Dream",37,16.9,185,3000,"FEMALE"
"22","Dream",36,17.9,190,3450,"FEMALE"
"23","Biscoe",39.6,17.7,186,3500,"FEMALE"
"24","Biscoe",35,17.9,190,3450,"FEMALE"
"25","Biscoe",34.5,18.1,187,2900,"FEMALE"
"26","Biscoe",39,17.5,186,3550,"FEMALE"
"27","Biscoe",36.5,16.6,181,2850,"FEMALE"
"28","Biscoe",35.7,16.9,185,3150,"FEMALE"
"29","Biscoe",37.6,17,185,3600,"FEMALE"
"30","Biscoe",36.4,17.1,184,2850,"FEMALE"
"31","Biscoe",35.5,16.2,195,3350,"FEMALE"
"32","Torgersen",35.9,16.6,190,3050,"FEMALE"
"33","Torgersen",33.5,19,190,3600,"FEMALE"
"34","Torgersen",39.6,17.2,196,3550,"FEMALE"
"35","Torgersen",35.5,17.5,190,3700,"FEMALE"
"36","Torgersen",40.9,16.8,191,3700,"FEMALE"
"37","Torgersen",36.2,16.1,187,3550,"FEMALE"
"38","Torgersen",34.6,17.2,189,3200,"FEMALE"
"39","Torgersen",36.7,18.8,187,3800,"FEMALE"
"40","Dream",37.3,17.8,191,3350,"FEMALE"
"41","Dream",36.9,18.6,189,3500,"FEMALE"
"42","Dream",38.9,18.8,190,3600,"FEMALE"
"43","Dream",35.7,18,202,3550,"FEMALE"
"44","Dream",34,17.1,185,3400,"FEMALE"
"45","Dream",36.2,17.3,187,3300,"FEMALE"
"46","Dream",38.1,18.6,190,3700,"FEMALE"
"47","Dream",33.1,16.1,178,2900,"FEMALE"
"48","Biscoe",35,17.9,192,3725,"FEMALE"
"49","Biscoe",37.7,16,183,3075,"FEMALE"
"50","Biscoe",37.9,18.6,193,2925,"FEMALE"
"51","Biscoe",38.6,17.2,199,3750,"FEMALE"
"52","Biscoe",38.1,17,181,3175,"FEMALE"
"53","Biscoe",38.1,16.5,198,3825,"FEMALE"
"54","Biscoe",39.7,17.7,193,3200,"FEMALE"
"55","Biscoe",39.6,20.7,191,3900,"FEMALE"
"56","Torgersen",38.6,17,188,2900,"FEMALE"
"57","Torgersen",35.7,17,189,3350,"FEMALE"
"58","Torgersen",36.2,17.2,187,3150,"FEMALE"
"59","Torgersen",40.2,17,176,3450,"FEMALE"
"60","Torgersen",35.2,15.9,186,3050,"FEMALE"
"61","Torgersen",38.8,17.6,191,3275,"FEMALE"
"62","Torgersen",39,17.1,191,3050,"FEMALE"
"63","Torgersen",38.5,17.9,190,3325,"FEMALE"
"64","Dream",36.8,18.5,193,3500,"FEMALE"
"65","Dream",38.1,17.6,187,3425,"FEMALE"
"66","Dream",35.6,17.5,191,3175,"FEMALE"
"67","Dream",37,16.5,185,3400,"FEMALE"
"68","Dream",40.2,17.1,193,3400,"FEMALE"
"69","Dream",32.1,15.5,188,3050,"FEMALE"
"70","Dream",37.3,16.8,192,3000,"FEMALE"
"71","Dream",36.6,18.4,184,3475,"FEMALE"
"72","Dream",36,17.8,195,3450,"FEMALE"
"73","Dream",36,17.1,187,3700,"FEMALE"
