"","Island","Culmen Length (mm)","Culmen Depth (mm)","Flipper Length (mm)","Body Mass (g)","Sex"
"1","Torgersen",39.1,18.7,181,3750,"MALE"
"2","Torgersen",39.3,20.6,190,3650,"MALE"
"3","Torgersen",39.2,19.6,195,4675,"MALE"
"4","Torgersen",38.6,21.2,191,3800,"MALE"
"5","Torgersen",34.6,21.1,198,4400,"MALE"
"6","Torgersen",42.5,20.7,197,4500,"MALE"
"7","Torgersen",46,21.5,194,4200,"MALE"
"8","Biscoe",37.7,18.7,180,3600,"MALE"
"9","Biscoe",38.2,18.1,185,3950,"MALE"
"10","Biscoe",38.8,17.2,180,3800,"MALE"
"11","Biscoe",40.6,18.6,183,3550,"MALE"
"12","Biscoe",40.5,18.9,180,3950,"MALE"
"13","Dream",37.2,18.1,178,3900,"MALE"
"14","Dream",40.9,18.9,184,3900,"MALE"
"15","Dream",39.2,21.1,196,4150,"MALE"
"16","Dream",38.8,20,190,3950,"MALE"
"17","Dream",39.8,19.1,184,4650,"MALE"
"18","Dream",40.8,18.4,195,3900,"MALE"
"19","Dream",44.1,19.7,196,4400,"MALE"
"20","Dream",39.6,18.8,190,4600,"MALE"
"21","Dream",41.1,19,182,3425,"MALE"
"22","Dream",42.3,21.2,191,4150,"MALE"
"23","Biscoe",40.1,18.9,188,4300,"MALE"
"24","Biscoe",42,19.5,200,4050,"MALE"
"25","Biscoe",41.4,18.6,191,3700,"MALE"
"26","Biscoe",40.6,18.8,193,3800,"MALE"
"27","Biscoe",37.6,19.1,194,3750,"MALE"
"28","Biscoe",41.3,21.1,195,4400,"MALE"
"29","Biscoe",41.1,18.2,192,4050,"MALE"
"30","Biscoe",41.6,18,192,3950,"MALE"
"31","Biscoe",41.1,19.1,188,4100,"MALE"
"32","Torgersen",41.8,19.4,198,4450,"MALE"
"33","Torgersen",39.7,18.4,190,3900,"MALE"
"34","Torgersen",45.8,18.9,197,4150,"MALE"
"35","Torgersen",42.8,18.5,195,4250,"MALE"
"36","Torgersen",37.2,19.4,184,3900,"MALE"
"37","Torgersen",42.1,19.1,195,4000,"MALE"
"38","Torgersen",42.9,17.6,196,4700,"MALE"
"39","Torgersen",35.1,19.4,193,4200,"MALE"
"40","Dream",41.3,20.3,194,3550,"MALE"
"41","Dream",36.3,19.5,190,3800,"MALE"
"42","Dream",38.3,19.2,189,3950,"MALE"
"43","Dream",41.1,18.1,205,4300,"MALE"
"44","Dream",39.6,18.1,186,4450,"MALE"
"45","Dream",40.8,18.9,208,4300,"MALE"
"46","Dream",40.3,18.5,196,4350,"MALE"
"47","Dream",43.2,18.5,192,4100,"MALE"
"48","Biscoe",41,20,203,4725,"MALE"
"49","Biscoe",37.8,20,190,4250,"MALE"
"50","Biscoe",39.7,18.9,184,3550,"MALE"
"51","Biscoe",38.2,20,190,3900,"MALE"
"52","Biscoe",43.2,19,197,4775,"MALE"
"53","Biscoe",45.6,20.3,191,4600,"MALE"
"54","Biscoe",42.2,19.5,197,4275,"MALE"
"55","Biscoe",42.7,18.3,196,4075,"MALE"
"56","Torgersen",37.3,20.5,199,3775,"MALE"
"57","Torgersen",41.1,18.6,189,3325,"MALE"
"58","Torgersen",37.7,19.8,198,3500,"MALE"
"59","Torgersen",41.4,18.5,202,3875,"MALE"
"60","Torgersen",40.6,19,199,4000,"MALE"
"61","Torgersen",41.5,18.3,195,4300,"MALE"
"62","Torgersen",44.1,18,210,4000,"MALE"
"63","Torgersen",43.1,19.2,197,3500,"MALE"
"64","Dream",37.5,18.5,199,4475,"MALE"
"65","Dream",41.1,17.5,190,3900,"MALE"
"66","Dream",40.2,20.1,200,3975,"MALE"
"67","Dream",39.7,17.9,193,4250,"MALE"
"68","Dream",40.6,17.2,187,3475,"MALE"
"69","Dream",40.7,17,190,3725,"MALE"
"70","Dream",39,18.7,185,3650,"MALE"
"71","Dream",39.2,18.6,190,4250,"MALE"
"72","Dream",37.8,18.1,193,3750,"MALE"
"73","Dream",41.5,18.5,201,4000,"MALE"
