"","Island","Culmen Length (mm)","Culmen Depth (mm)","Flipper Length (mm)","Body Mass (g)","Sex","Species"
"1","Dream",44.3,16.95,190,3587.5,"FEMALE","Chinstrap"
"2","Dream",47.3,18,193.5,3800,"FEMALE","Chinstrap"
"3","Dream",46.1,17.15,194,3600,"FEMALE","Chinstrap"
"4","Dream",46.25,19.05,188,3300,"FEMALE","Chinstrap"
"5","Dream",44.55,18.05,193,3625,"FEMALE","Chinstrap"
"6","Dream",45.05,17.4,195,3175,"FEMALE","Chinstrap"
"7","Dream",54.25,17.8,198.5,3437.5,"FEMALE","Chinstrap"
"8","Dream",46.15,17.3,191.5,3525,"FEMALE","Chinstrap"
"9","Dream",43.85,17.25,198.5,3650,"FEMALE","Chinstrap"
"10","Dream",45.55,18,191,3325,"FEMALE","Chinstrap"
"11","Dream",43.85,17.3,183.5,3700,"FEMALE","Chinstrap"
"12","Dream",46.5,17.8,190.5,3412.5,"FEMALE","Chinstrap"
"13","Dream",45.2,18.4,188,3687.5,"FEMALE","Chinstrap"
"14","Dream",47.05,18,188.5,3325,"FEMALE","Chinstrap"
"15","Dream",45.7,17.6,193,3437.5,"FEMALE","Chinstrap"
"16","Dream",46.1,17.3,193.5,3537.5,"FEMALE","Chinstrap"
"17","Dream",47.1,17.7,195.5,3562.5,"FEMALE","Chinstrap"
"18","Dream",44.2,18.65,190,3562.5,"FEMALE","Chinstrap"
"19","Dream",44.7,17.4,197,3400,"FEMALE","Chinstrap"
"20","Dream",47.85,17.55,194,3450,"FEMALE","Chinstrap"
"21","Dream",48.45,17.15,193,3287.5,"FEMALE","Chinstrap"
"22","Dream",46.55,17.25,187.5,3625,"FEMALE","Chinstrap"
"23","Dream",45.5,17.55,192.5,3475,"FEMALE","Chinstrap"
"24","Dream",48.6,17.15,193,3412.5,"FEMALE","Chinstrap"
"25","Dream",47.6,18.2,195,3612.5,"FEMALE","Chinstrap"
"26","Dream",45.75,17.45,196.5,3500,"FEMALE","Chinstrap"
"27","Dream",46.7,17.55,188.5,3637.5,"FEMALE","Chinstrap"
"28","Dream",47.65,18.6,195,3687.5,"FEMALE","Chinstrap"
"29","Dream",45.95,17.25,193.5,3862.5,"FEMALE","Chinstrap"
"30","Dream",46.5,17.5,192.5,3537.5,"FEMALE","Chinstrap"
"31","Dream",47,17.35,190,3712.5,"FEMALE","Chinstrap"
"32","Dream",44.55,16.65,191.5,3737.5,"FEMALE","Chinstrap"
"33","Dream",46.1,17.15,191.5,3800,"FEMALE","Chinstrap"
"34","Dream",46.3,17.6,193,3650,"FEMALE","Chinstrap"
"35","Dream",45,18.1,182.5,3650,"FEMALE","Chinstrap"
"36","Dream",47,17.7,190,3462.5,"FEMALE","Chinstrap"
"37","Dream",44.95,17.9,196.5,3525,"FEMALE","Chinstrap"
"38","Dream",46,18.05,196,3487.5,"FEMALE","Chinstrap"
"39","Dream",45.65,18.05,196,3587.5,"FEMALE","Chinstrap"
"40","Dream",48.65,17.55,194.5,3325,"FEMALE","Chinstrap"
"41","Dream",46.65,17.55,198.5,3675,"FEMALE","Chinstrap"
"42","Dream",46.3,17.15,189,3687.5,"FEMALE","Chinstrap"
"43","Dream",48.55,19,188.5,3725,"FEMALE","Chinstrap"
"44","Dream",45,17.2,191.5,3625,"FEMALE","Chinstrap"
"45","Dream",52.8,17.6,188,3750,"FEMALE","Chinstrap"
"46","Dream",46.05,17.25,189.5,3512.5,"FEMALE","Chinstrap"
"47","Dream",43.4,18.05,194,3475,"FEMALE","Chinstrap"
"48","Dream",46.7,17.05,191,3962.5,"FEMALE","Chinstrap"
"49","Dream",47.3,17.2,197,3500,"FEMALE","Chinstrap"
"50","Dream",46.05,17.7,188.5,3575,"FEMALE","Chinstrap"
"51","Dream",46.5,17.5,182.5,3325,"FEMALE","Chinstrap"
"52","Dream",48.55,18.35,190,3875,"FEMALE","Chinstrap"
"53","Dream",47.5,17.65,188,3050,"FEMALE","Chinstrap"
"54","Dream",48,18.05,192.5,3575,"FEMALE","Chinstrap"
"55","Dream",45.65,17.05,197,3700,"FEMALE","Chinstrap"
"56","Dream",46.9,17.55,186,3912.5,"FEMALE","Chinstrap"
"57","Dream",46.55,17.7,191.5,3462.5,"FEMALE","Chinstrap"
"58","Dream",48.3,17.95,191.5,3725,"FEMALE","Chinstrap"
"59","Dream",51.85,18.3,194.5,3575,"FEMALE","Chinstrap"
"60","Dream",45.9,18,193,3625,"FEMALE","Chinstrap"
"61","Dream",46.65,17.85,199,3562.5,"FEMALE","Chinstrap"
"62","Dream",46.35,17.25,189,3550,"FEMALE","Chinstrap"
"63","Dream",45.6,17.7,193,3025,"FEMALE","Chinstrap"
"64","Dream",45.95,16.6,187,3312.5,"FEMALE","Chinstrap"
"65","Dream",45.1,18.4,196,3687.5,"FEMALE","Chinstrap"
"66","Dream",46.25,17.3,187.5,3600,"FEMALE","Chinstrap"
"67","Dream",43.05,17.2,187.5,3400,"FEMALE","Chinstrap"
"68","Dream",46,17.55,192,3575,"FEMALE","Chinstrap"
"69","Dream",45.7,18.6,194.5,3275,"FEMALE","Chinstrap"
"70","Dream",46.9,16.9,188,3325,"FEMALE","Chinstrap"
"71","Dream",48.25,17.65,189,3562.5,"FEMALE","Chinstrap"
"72","Dream",45.8,17.3,192.5,3512.5,"FEMALE","Chinstrap"
"73","Dream",46.3,17.15,188.5,3725,"FEMALE","Chinstrap"
"74","Dream",45.2,17.05,194.5,3700,"FEMALE","Chinstrap"
"75","Dream",47,17.55,195.5,3287.5,"FEMALE","Chinstrap"
"76","Dream",48.4,17.95,188,3637.5,"FEMALE","Chinstrap"
