"","Island","Culmen Length (mm)","Culmen Depth (mm)","Flipper Length (mm)","Body Mass (g)","Sex","Species"
"1","Dream",51.2,19.5,199,4050,"MALE","Chinstrap"
"2","Dream",49.1,17.8,200,3937.5,"MALE","Chinstrap"
"3","Dream",51.35,18.7,199,4075,"MALE","Chinstrap"
"4","Dream",51.65,19.5,197,3912.5,"MALE","Chinstrap"
"5","Dream",50.15,19.25,205,4075,"MALE","Chinstrap"
"6","Dream",49.65,19.65,199.5,4000,"MALE","Chinstrap"
"7","Dream",50.35,19.5,203.5,3625,"MALE","Chinstrap"
"8","Dream",52,19.05,192,3937.5,"MALE","Chinstrap"
"9","Dream",53.4,20.2,197.5,3625,"MALE","Chinstrap"
"10","Dream",51.3,19.25,208.5,4325,"MALE","Chinstrap"
"11","Dream",50.45,19.85,206,4375,"MALE","Chinstrap"
"12","Dream",51.65,18.85,201.5,3925,"MALE","Chinstrap"
"13","Dream",50.95,18.6,198,4425,"MALE","Chinstrap"
"14","Dream",55,18.6,203,4350,"MALE","Chinstrap"
"15","Dream",50.75,19.85,195,4150,"MALE","Chinstrap"
"16","Dream",50.7,19.1,195.5,4262.5,"MALE","Chinstrap"
"17","Dream",52.35,19.05,199,3625,"MALE","Chinstrap"
"18","Dream",50.5,19.55,201.5,4175,"MALE","Chinstrap"
"19","Dream",49.75,18.9,198,3675,"MALE","Chinstrap"
"20","Dream",50.95,19.7,200.5,4150,"MALE","Chinstrap"
"21","Dream",51.35,20.15,205.5,3812.5,"MALE","Chinstrap"
"22","Dream",55,18.75,198,4250,"MALE","Chinstrap"
"23","Dream",50.1,19.45,195,4250,"MALE","Chinstrap"
"24","Dream",51.35,19,206.5,3650,"MALE","Chinstrap"
"25","Dream",50.75,19.4,205,4300,"MALE","Chinstrap"
"26","Dream",50.65,18.85,201,3912.5,"MALE","Chinstrap"
"27","Dream",50.15,19.4,199,3825,"MALE","Chinstrap"
"28","Dream",52.15,20.75,205.5,3737.5,"MALE","Chinstrap"
"29","Dream",51.4,20.1,199,3925,"MALE","Chinstrap"
"30","Dream",50.9,19.2,202,4175,"MALE","Chinstrap"
"31","Dream",52.6,19,198.5,3675,"MALE","Chinstrap"
"32","Dream",50.3,19.9,210,3837.5,"MALE","Chinstrap"
"33","Dream",49.35,19.75,199,4175,"MALE","Chinstrap"
"34","Dream",50.4,19.05,196,4050,"MALE","Chinstrap"
"35","Dream",50.35,19,193.5,3625,"MALE","Chinstrap"
"36","Dream",50.9,19.1,195,3962.5,"MALE","Chinstrap"
"37","Dream",51.05,20.15,202,3775,"MALE","Chinstrap"
"38","Dream",50.5,19.15,201,4250,"MALE","Chinstrap"
"39","Dream",50.2,18.95,199,3625,"MALE","Chinstrap"
"40","Dream",50.35,18.9,195.5,3850,"MALE","Chinstrap"
"41","Dream",51.3,18.65,211,3762.5,"MALE","Chinstrap"
"42","Dream",50.2,19.1,203,3912.5,"MALE","Chinstrap"
"43","Dream",51.85,19.35,201,3700,"MALE","Chinstrap"
"44","Dream",50.85,18.5,210,3825,"MALE","Chinstrap"
"45","Dream",49.6,19.75,191.5,3912.5,"MALE","Chinstrap"
"46","Dream",50.1,19,198.5,3575,"MALE","Chinstrap"
"47","Dream",51.25,19,204,3500,"MALE","Chinstrap"
"48","Dream",50.75,19,196.5,3825,"MALE","Chinstrap"
"49","Dream",50.1,19.7,197.5,3500,"MALE","Chinstrap"
"50","Dream",51,18.85,205.5,3625,"MALE","Chinstrap"
"51","Dream",50.55,18.5,205,3700,"MALE","Chinstrap"
"52","Dream",50.95,19.5,200,3675,"MALE","Chinstrap"
"53","Dream",50.15,20.3,202,3925,"MALE","Chinstrap"
"54","Dream",49.6,18.15,203,3750,"MALE","Chinstrap"
"55","Dream",49.35,19.15,206,3650,"MALE","Chinstrap"
"56","Dream",51.1,19.2,199,3925,"MALE","Chinstrap"
"57","Dream",52.4,19.8,195.5,3850,"MALE","Chinstrap"
"58","Dream",50.4,19.75,203.5,3850,"MALE","Chinstrap"
"59","Dream",49.9,19.65,196,3475,"MALE","Chinstrap"
"60","Dream",50.65,19.55,204,3725,"MALE","Chinstrap"
"61","Dream",50.7,19.5,204.5,3775,"MALE","Chinstrap"
"62","Dream",50.15,18.6,197,3512.5,"MALE","Chinstrap"
"63","Dream",50.6,19,196,4225,"MALE","Chinstrap"
"64","Dream",52.75,19.2,201.5,3425,"MALE","Chinstrap"
"65","Dream",51.5,19.6,212,4025,"MALE","Chinstrap"
"66","Dream",49.9,18.6,198,4000,"MALE","Chinstrap"
"67","Dream",52.4,19.7,201.5,4050,"MALE","Chinstrap"
"68","Dream",51.1,19.7,200,4150,"MALE","Chinstrap"
"69","Dream",51.55,18.9,199,3350,"MALE","Chinstrap"
"70","Dream",49.6,19.15,197.5,3850,"MALE","Chinstrap"
"71","Dream",49.55,19.45,203,4137.5,"MALE","Chinstrap"
"72","Dream",50.9,19.65,201,4087.5,"MALE","Chinstrap"
"73","Dream",50.75,19.1,204,4000,"MALE","Chinstrap"
"74","Dream",51.5,19.45,204.5,3912.5,"MALE","Chinstrap"
"75","Dream",51.85,19.45,196.5,4100,"MALE","Chinstrap"
"76","Dream",50.25,19.4,199.5,3850,"MALE","Chinstrap"
"77","Dream",52.05,19.05,200,3725,"MALE","Chinstrap"
"78","Dream",52.15,19.3,203,3625,"MALE","Chinstrap"
"79","Dream",49.25,18.55,200,3700,"MALE","Chinstrap"
"80","Dream",51.5,19.15,202,3550,"MALE","Chinstrap"
"81","Dream",50.9,19.35,203.5,4137.5,"MALE","Chinstrap"
"82","Dream",49.3,19.15,197,4350,"MALE","Chinstrap"
"83","Dream",51.4,19.75,193,3737.5,"MALE","Chinstrap"
"84","Dream",50.5,19.9,204,4050,"MALE","Chinstrap"
"85","Dream",49,19.85,204.5,3712.5,"MALE","Chinstrap"
"86","Dream",51.5,19.55,200,4400,"MALE","Chinstrap"
"87","Dream",50.6,18.7,197.5,4450,"MALE","Chinstrap"
"88","Dream",50.6,19.85,192,4175,"MALE","Chinstrap"
"89","Dream",50.05,19.25,206.5,4075,"MALE","Chinstrap"
"90","Dream",50.95,18.75,201,3600,"MALE","Chinstrap"
"91","Dream",52,19.4,197.5,3775,"MALE","Chinstrap"
"92","Dream",50.45,19.25,201,3625,"MALE","Chinstrap"
"93","Dream",51.3,19.65,198.5,3487.5,"MALE","Chinstrap"
"94","Dream",50.65,19.1,196,3425,"MALE","Chinstrap"
"95","Dream",50.55,19.1,201.5,4075,"MALE","Chinstrap"
"96","Dream",51.65,19.7,199,3750,"MALE","Chinstrap"
"97","Dream",50.95,18.9,199.5,3900,"MALE","Chinstrap"
"98","Dream",49.9,19.6,198,4275,"MALE","Chinstrap"
"99","Dream",50.15,19.45,206.5,3575,"MALE","Chinstrap"
"100","Dream",49.7,18.9,204.5,4025,"MALE","Chinstrap"
"101","Dream",51.45,18.85,199,4125,"MALE","Chinstrap"
"102","Dream",51.3,19.2,204,4050,"MALE","Chinstrap"
"103","Dream",51.6,19.85,199.5,3575,"MALE","Chinstrap"
"104","Dream",51.85,19.3,196,4175,"MALE","Chinstrap"
"105","Dream",51.45,18.4,196.5,3925,"MALE","Chinstrap"
"106","Dream",49.25,19.8,202,4025,"MALE","Chinstrap"
"107","Dream",51.4,19.95,204.5,3750,"MALE","Chinstrap"
"108","Dream",50.4,20.05,203,3662.5,"MALE","Chinstrap"
"109","Dream",51.25,19.55,204,4250,"MALE","Chinstrap"
"110","Dream",50.5,19.25,201.5,3837.5,"MALE","Chinstrap"
"111","Dream",51.1,18.8,192,4100,"MALE","Chinstrap"
"112","Dream",50.75,19.15,201,3750,"MALE","Chinstrap"
"113","Dream",50.65,19.65,202,3912.5,"MALE","Chinstrap"
"114","Dream",50.15,19.35,197,4037.5,"MALE","Chinstrap"
"115","Dream",50.1,19.1,199.5,4137.5,"MALE","Chinstrap"
"116","Dream",50.1,19.3,199.5,4175,"MALE","Chinstrap"
"117","Dream",50.85,19.5,204,3875,"MALE","Chinstrap"
"118","Dream",50.7,19.45,201,3925,"MALE","Chinstrap"
"119","Dream",50.3,19.45,197.5,3700,"MALE","Chinstrap"
"120","Dream",52.1,19.25,193.5,3650,"MALE","Chinstrap"
"121","Dream",52.75,18.4,195.5,4137.5,"MALE","Chinstrap"
"122","Dream",52.75,19,201,4137.5,"MALE","Chinstrap"
"123","Dream",51,18.9,203,4000,"MALE","Chinstrap"
"124","Dream",51.75,18.85,205.5,4037.5,"MALE","Chinstrap"
"125","Dream",50.8,19.15,206.5,3675,"MALE","Chinstrap"
"126","Dream",50.55,18.5,204.5,4475,"MALE","Chinstrap"
"127","Dream",51.65,20.3,204.5,4000,"MALE","Chinstrap"
"128","Dream",51.8,19.75,196,3837.5,"MALE","Chinstrap"
"129","Dream",50.7,18.85,194.5,4000,"MALE","Chinstrap"
"130","Dream",50.7,20.4,206.5,4125,"MALE","Chinstrap"
"131","Dream",50.25,19.7,200,4350,"MALE","Chinstrap"
"132","Dream",50.75,19.35,205.5,3925,"MALE","Chinstrap"
"133","Dream",53.5,19.9,204,4025,"MALE","Chinstrap"
"134","Dream",50.85,19.3,199,4250,"MALE","Chinstrap"
"135","Dream",51.25,19.25,199.5,3762.5,"MALE","Chinstrap"
"136","Dream",50.15,19.65,200.5,3775,"MALE","Chinstrap"
"137","Dream",51.65,19.35,196.5,3675,"MALE","Chinstrap"
"138","Dream",49.7,19.2,201.5,3700,"MALE","Chinstrap"
"139","Dream",51.45,20.1,196,4325,"MALE","Chinstrap"
"140","Dream",51.95,19.85,197,3400,"MALE","Chinstrap"
"141","Dream",49.9,19.4,197,3925,"MALE","Chinstrap"
"142","Dream",50.95,19.2,206.5,3625,"MALE","Chinstrap"
"143","Dream",52.5,19.15,206.5,3725,"MALE","Chinstrap"
"144","Dream",51.55,19.9,207,4075,"MALE","Chinstrap"
"145","Dream",51.85,19.15,193.5,4250,"MALE","Chinstrap"
"146","Dream",50.5,19.15,192,3825,"MALE","Chinstrap"
"147","Dream",52.15,19,205.5,3750,"MALE","Chinstrap"
"148","Dream",50.7,18.65,202.5,4100,"MALE","Chinstrap"
"149","Dream",51.55,19.5,200.5,4000,"MALE","Chinstrap"
"150","Dream",52.55,19.45,190,3662.5,"MALE","Chinstrap"
"151","Dream",53.3,19.2,205.5,4075,"MALE","Chinstrap"
"152","Dream",51,19.5,192,3925,"MALE","Chinstrap"
"153","Dream",50.8,19.25,198,3925,"MALE","Chinstrap"
"154","Dream",51.4,19.7,201.5,3750,"MALE","Chinstrap"
"155","Dream",50.25,19.2,208.5,3550,"MALE","Chinstrap"
"156","Dream",50.25,18.65,198,3675,"MALE","Chinstrap"
"157","Dream",53.3,19.3,192,4000,"MALE","Chinstrap"
"158","Dream",53.9,18.75,201,4250,"MALE","Chinstrap"
"159","Dream",50.2,19,202.5,3737.5,"MALE","Chinstrap"
"160","Dream",51.4,19.7,202,4175,"MALE","Chinstrap"
"161","Dream",50.25,19.85,208,4000,"MALE","Chinstrap"
"162","Dream",52.05,18.2,198,3775,"MALE","Chinstrap"
"163","Dream",51.4,19.8,206.5,3900,"MALE","Chinstrap"
"164","Dream",51.8,18.35,202,3550,"MALE","Chinstrap"
"165","Dream",51.55,18.45,195.5,4025,"MALE","Chinstrap"
"166","Dream",50.75,19.9,196.5,3975,"MALE","Chinstrap"
"167","Dream",50.2,20.3,204,3625,"MALE","Chinstrap"
"168","Dream",52.5,19.5,200.5,3562.5,"MALE","Chinstrap"
"169","Dream",49.65,19.3,206,3962.5,"MALE","Chinstrap"
"170","Dream",52.65,19.5,196,3500,"MALE","Chinstrap"
"171","Dream",52.75,20.1,196.5,4175,"MALE","Chinstrap"
"172","Dream",50.5,18.8,198.5,3912.5,"MALE","Chinstrap"
"173","Dream",50.6,19.25,198,4287.5,"MALE","Chinstrap"
"174","Dream",51.85,18.9,193,3587.5,"MALE","Chinstrap"
"175","Dream",50,19.45,200,4125,"MALE","Chinstrap"
"176","Dream",51,20.2,207.5,3762.5,"MALE","Chinstrap"
"177","Dream",49.4,18.95,201,3512.5,"MALE","Chinstrap"
"178","Dream",50.6,17.8,194.5,4125,"MALE","Chinstrap"
"179","Dream",51.95,19.4,202,3825,"MALE","Chinstrap"
"180","Dream",51.7,18.85,210,4000,"MALE","Chinstrap"
"181","Dream",51.1,18.45,195.5,3600,"MALE","Chinstrap"
"182","Dream",51.75,19.7,201,3762.5,"MALE","Chinstrap"
"183","Dream",53.55,18.7,200.5,4100,"MALE","Chinstrap"
"184","Dream",49.75,19.65,194,4175,"MALE","Chinstrap"
"185","Dream",51.1,18.5,198.5,3775,"MALE","Chinstrap"
"186","Dream",50.85,19.35,196,3800,"MALE","Chinstrap"
"187","Dream",49,19.95,199,3850,"MALE","Chinstrap"
"188","Dream",50.35,19,210,4250,"MALE","Chinstrap"
"189","Dream",49.9,18.5,197.5,3925,"MALE","Chinstrap"
"190","Dream",49.3,18.5,201.5,3737.5,"MALE","Chinstrap"
"191","Dream",50.85,19,197.5,3850,"MALE","Chinstrap"
"192","Dream",51.7,19.2,205,3400,"MALE","Chinstrap"
"193","Dream",51.35,18.45,201,4050,"MALE","Chinstrap"
"194","Dream",50.95,18.6,193.5,4125,"MALE","Chinstrap"
"195","Dream",50.4,19.15,198,4025,"MALE","Chinstrap"
"196","Dream",51.7,19.25,201.5,3675,"MALE","Chinstrap"
"197","Dream",52.15,19.7,205,3725,"MALE","Chinstrap"
"198","Dream",51.45,19.25,195,3925,"MALE","Chinstrap"
"199","Dream",52,19.25,206.5,3850,"MALE","Chinstrap"
"200","Dream",51.9,18.75,194,3775,"MALE","Chinstrap"
"201","Dream",51.95,19.1,203.5,3725,"MALE","Chinstrap"
"202","Dream",49.9,19.8,196,3875,"MALE","Chinstrap"
"203","Dream",49.9,18.35,195,4300,"MALE","Chinstrap"
"204","Dream",53.15,19.05,194,3887.5,"MALE","Chinstrap"
"205","Dream",50.2,19.7,195,4162.5,"MALE","Chinstrap"
"206","Dream",50.3,18.9,195,3725,"MALE","Chinstrap"
"207","Dream",51.25,19.45,197.5,3350,"MALE","Chinstrap"
"208","Dream",52,19.6,199.5,3975,"MALE","Chinstrap"
"209","Dream",52.8,19.25,208,3575,"MALE","Chinstrap"
"210","Dream",50.55,19.25,195.5,3762.5,"MALE","Chinstrap"
"211","Dream",50.1,19.75,205.5,3725,"MALE","Chinstrap"
"212","Dream",51.25,19.35,203,4075,"MALE","Chinstrap"
"213","Dream",50.05,19.8,201,3850,"MALE","Chinstrap"
"214","Dream",51.35,18.55,201,4050,"MALE","Chinstrap"
"215","Dream",50.5,18.5,202.5,4400,"MALE","Chinstrap"
"216","Dream",51.1,19.9,199,3550,"MALE","Chinstrap"
"217","Dream",50.8,18.15,196.5,3850,"MALE","Chinstrap"
"218","Dream",50.95,19.95,204,4275,"MALE","Chinstrap"
"219","Dream",49.95,19.5,195.5,3925,"MALE","Chinstrap"
"220","Dream",53.55,18.55,203.5,3950,"MALE","Chinstrap"
"221","Dream",50.5,19.8,198.5,3575,"MALE","Chinstrap"
"222","Dream",51.45,19.05,204,4050,"MALE","Chinstrap"
"223","Dream",52.35,20.1,194,4175,"MALE","Chinstrap"
"224","Dream",51.4,20.15,198,3662.5,"MALE","Chinstrap"
"225","Dream",51.35,18.5,199.5,3962.5,"MALE","Chinstrap"
"226","Dream",50.5,18.8,201,3587.5,"MALE","Chinstrap"
"227","Dream",51.05,19.6,199,4300,"MALE","Chinstrap"
"228","Dream",53.5,18.55,194.5,3862.5,"MALE","Chinstrap"
"229","Dream",52.1,19.15,197,3712.5,"MALE","Chinstrap"
"230","Dream",50.7,19.35,202,4050,"MALE","Chinstrap"
"231","Dream",52.4,19.35,195,3425,"MALE","Chinstrap"
"232","Dream",51.75,18.6,195,4275,"MALE","Chinstrap"
