"","Island","Culmen Length (mm)","Culmen Depth (mm)","Flipper Length (mm)","Body Mass (g)","Sex"
"1","Dream",46.5,17.9,192,3500,"FEMALE"
"2","Dream",50,19.5,196,3900,"MALE"
"3","Dream",51.3,19.2,193,3650,"MALE"
"4","Dream",45.4,18.7,188,3525,"FEMALE"
"5","Dream",52.7,19.8,197,3725,"MALE"
"6","Dream",45.2,17.8,198,3950,"FEMALE"
"7","Dream",46.1,18.2,178,3250,"FEMALE"
"8","Dream",51.3,18.2,197,3750,"MALE"
"9","Dream",46,18.9,195,4150,"FEMALE"
"10","Dream",51.3,19.9,198,3700,"MALE"
"11","Dream",46.6,17.8,193,3800,"FEMALE"
"12","Dream",51.7,20.3,194,3775,"MALE"
"13","Dream",47,17.3,185,3700,"FEMALE"
"14","Dream",52,18.1,201,4050,"MALE"
"15","Dream",45.9,17.1,190,3575,"FEMALE"
"16","Dream",50.5,19.6,201,4050,"MALE"
"17","Dream",50.3,20,197,3300,"MALE"
"18","Dream",58,17.8,181,3700,"FEMALE"
"19","Dream",46.4,18.6,190,3450,"FEMALE"
"20","Dream",49.2,18.2,195,4400,"MALE"
"21","Dream",42.4,17.3,181,3600,"FEMALE"
"22","Dream",48.5,17.5,191,3400,"MALE"
"23","Dream",43.2,16.6,187,2900,"FEMALE"
"24","Dream",50.6,19.4,193,3800,"MALE"
"25","Dream",46.7,17.9,195,3300,"FEMALE"
"26","Dream",52,19,197,4150,"MALE"
"27","Dream",50.5,18.4,200,3400,"FEMALE"
"28","Dream",49.5,19,200,3800,"MALE"
"29","Dream",46.4,17.8,191,3700,"FEMALE"
"30","Dream",52.8,20,205,4550,"MALE"
"31","Dream",40.9,16.6,187,3200,"FEMALE"
"32","Dream",54.2,20.8,201,4300,"MALE"
"33","Dream",42.5,16.7,187,3350,"FEMALE"
"34","Dream",51,18.8,203,4100,"MALE"
"35","Dream",49.7,18.6,195,3600,"MALE"
"36","Dream",47.5,16.8,199,3900,"FEMALE"
"37","Dream",47.6,18.3,195,3850,"FEMALE"
"38","Dream",52,20.7,210,4800,"MALE"
"39","Dream",46.9,16.6,192,2700,"FEMALE"
"40","Dream",53.5,19.9,205,4500,"MALE"
"41","Dream",49,19.5,210,3950,"MALE"
"42","Dream",46.2,17.5,187,3650,"FEMALE"
"43","Dream",50.9,19.1,196,3550,"MALE"
"44","Dream",45.5,17,196,3500,"FEMALE"
"45","Dream",50.9,17.9,196,3675,"FEMALE"
"46","Dream",50.8,18.5,201,4450,"MALE"
"47","Dream",50.1,17.9,190,3400,"FEMALE"
"48","Dream",49,19.6,212,4300,"MALE"
"49","Dream",51.5,18.7,187,3250,"MALE"
"50","Dream",49.8,17.3,198,3675,"FEMALE"
"51","Dream",48.1,16.4,199,3325,"FEMALE"
"52","Dream",51.4,19,201,3950,"MALE"
"53","Dream",45.7,17.3,193,3600,"FEMALE"
"54","Dream",50.7,19.7,203,4050,"MALE"
"55","Dream",42.5,17.3,187,3350,"FEMALE"
"56","Dream",52.2,18.8,197,3450,"MALE"
"57","Dream",45.2,16.6,191,3250,"FEMALE"
"58","Dream",49.3,19.9,203,4050,"MALE"
"59","Dream",50.2,18.8,202,3800,"MALE"
"60","Dream",45.6,19.4,194,3525,"FEMALE"
"61","Dream",51.9,19.5,206,3950,"MALE"
"62","Dream",46.8,16.5,189,3650,"FEMALE"
"63","Dream",45.7,17,195,3650,"FEMALE"
"64","Dream",55.8,19.8,207,4000,"MALE"
"65","Dream",43.5,18.1,202,3400,"FEMALE"
"66","Dream",49.6,18.2,193,3775,"MALE"
"67","Dream",50.8,19,210,4100,"MALE"
"68","Dream",50.2,18.7,198,3775,"FEMALE"
