"","Island","Culmen Length (mm)","Culmen Depth (mm)","Flipper Length (mm)","Body Mass (g)","Sex"
"1","Dream",46.5,17.9,192,3500,"FEMALE"
"2","Dream",45.4,18.7,188,3525,"FEMALE"
"3","Dream",45.2,17.8,198,3950,"FEMALE"
"4","Dream",46.1,18.2,178,3250,"FEMALE"
"5","Dream",46,18.9,195,4150,"FEMALE"
"6","Dream",46.6,17.8,193,3800,"FEMALE"
"7","Dream",47,17.3,185,3700,"FEMALE"
"8","Dream",45.9,17.1,190,3575,"FEMALE"
"9","Dream",58,17.8,181,3700,"FEMALE"
"10","Dream",46.4,18.6,190,3450,"FEMALE"
"11","Dream",42.4,17.3,181,3600,"FEMALE"
"12","Dream",43.2,16.6,187,2900,"FEMALE"
"13","Dream",46.7,17.9,195,3300,"FEMALE"
"14","Dream",50.5,18.4,200,3400,"FEMALE"
"15","Dream",46.4,17.8,191,3700,"FEMALE"
"16","Dream",40.9,16.6,187,3200,"FEMALE"
"17","Dream",42.5,16.7,187,3350,"FEMALE"
"18","Dream",47.5,16.8,199,3900,"FEMALE"
"19","Dream",47.6,18.3,195,3850,"FEMALE"
"20","Dream",46.9,16.6,192,2700,"FEMALE"
"21","Dream",46.2,17.5,187,3650,"FEMALE"
"22","Dream",45.5,17,196,3500,"FEMALE"
"23","Dream",50.9,17.9,196,3675,"FEMALE"
"24","Dream",50.1,17.9,190,3400,"FEMALE"
"25","Dream",49.8,17.3,198,3675,"FEMALE"
"26","Dream",48.1,16.4,199,3325,"FEMALE"
"27","Dream",45.7,17.3,193,3600,"FEMALE"
"28","Dream",42.5,17.3,187,3350,"FEMALE"
"29","Dream",45.2,16.6,191,3250,"FEMALE"
"30","Dream",45.6,19.4,194,3525,"FEMALE"
"31","Dream",46.8,16.5,189,3650,"FEMALE"
"32","Dream",45.7,17,195,3650,"FEMALE"
"33","Dream",43.5,18.1,202,3400,"FEMALE"
"34","Dream",50.2,18.7,198,3775,"FEMALE"
