"","Island","Culmen Length (mm)","Culmen Depth (mm)","Flipper Length (mm)","Body Mass (g)","Sex"
"1","Dream",50,19.5,196,3900,"MALE"
"2","Dream",51.3,19.2,193,3650,"MALE"
"3","Dream",52.7,19.8,197,3725,"MALE"
"4","Dream",51.3,18.2,197,3750,"MALE"
"5","Dream",51.3,19.9,198,3700,"MALE"
"6","Dream",51.7,20.3,194,3775,"MALE"
"7","Dream",52,18.1,201,4050,"MALE"
"8","Dream",50.5,19.6,201,4050,"MALE"
"9","Dream",50.3,20,197,3300,"MALE"
"10","Dream",49.2,18.2,195,4400,"MALE"
"11","Dream",48.5,17.5,191,3400,"MALE"
"12","Dream",50.6,19.4,193,3800,"MALE"
"13","Dream",52,19,197,4150,"MALE"
"14","Dream",49.5,19,200,3800,"MALE"
"15","Dream",52.8,20,205,4550,"MALE"
"16","Dream",54.2,20.8,201,4300,"MALE"
"17","Dream",51,18.8,203,4100,"MALE"
"18","Dream",49.7,18.6,195,3600,"MALE"
"19","Dream",52,20.7,210,4800,"MALE"
"20","Dream",53.5,19.9,205,4500,"MALE"
"21","Dream",49,19.5,210,3950,"MALE"
"22","Dream",50.9,19.1,196,3550,"MALE"
"23","Dream",50.8,18.5,201,4450,"MALE"
"24","Dream",49,19.6,212,4300,"MALE"
"25","Dream",51.5,18.7,187,3250,"MALE"
"26","Dream",51.4,19,201,3950,"MALE"
"27","Dream",50.7,19.7,203,4050,"MALE"
"28","Dream",52.2,18.8,197,3450,"MALE"
"29","Dream",49.3,19.9,203,4050,"MALE"
"30","Dream",50.2,18.8,202,3800,"MALE"
"31","Dream",51.9,19.5,206,3950,"MALE"
"32","Dream",55.8,19.8,207,4000,"MALE"
"33","Dream",49.6,18.2,193,3775,"MALE"
"34","Dream",50.8,19,210,4100,"MALE"
