"","Island","Culmen Length (mm)","Culmen Depth (mm)","Flipper Length (mm)","Body Mass (g)","Sex","Species"
"1","Biscoe",45.8,13.9,211,4887.5,"FEMALE","Gentoo"
"2","Biscoe",46.25,14.75,211.5,5050,"FEMALE","Gentoo"
"3","Biscoe",45.45,14.6,211,4637.5,"FEMALE","Gentoo"
"4","Biscoe",46.45,14.3,217,4600,"FEMALE","Gentoo"
"5","Biscoe",47.05,14.1,213,4800,"FEMALE","Gentoo"
"6","Biscoe",48,14.45,209,4500,"FEMALE","Gentoo"
"7","Biscoe",44.25,14.35,212,4737.5,"FEMALE","Gentoo"
"8","Biscoe",46.55,14.35,214,4712.5,"FEMALE","Gentoo"
"9","Biscoe",46.5,14.6,210.5,4887.5,"FEMALE","Gentoo"
"10","Biscoe",45.8,14.7,216,4712.5,"FEMALE","Gentoo"
"11","Biscoe",43.2,14.3,214.5,4900,"FEMALE","Gentoo"
"12","Biscoe",45.85,13.65,210,4512.5,"FEMALE","Gentoo"
"13","Biscoe",46.35,13.75,211.5,4700,"FEMALE","Gentoo"
"14","Biscoe",46.1,14.1,207.5,4487.5,"FEMALE","Gentoo"
"15","Biscoe",45.45,13.75,214.5,4850,"FEMALE","Gentoo"
"16","Biscoe",44,14.45,211,4600,"FEMALE","Gentoo"
"17","Biscoe",47.2,14.7,217.5,4587.5,"FEMALE","Gentoo"
"18","Biscoe",43.85,14.55,206.5,4625,"FEMALE","Gentoo"
"19","Biscoe",47.8,13.65,218,4900,"FEMALE","Gentoo"
"20","Biscoe",47.3,14.05,213,4837.5,"FEMALE","Gentoo"
"21","Biscoe",45.15,14.05,212.5,4325,"FEMALE","Gentoo"
"22","Biscoe",44.75,13.9,213,4925,"FEMALE","Gentoo"
"23","Biscoe",45.6,14.4,212,4887.5,"FEMALE","Gentoo"
"24","Biscoe",46.2,14.35,212,4300,"FEMALE","Gentoo"
"25","Biscoe",44.9,14,210.5,4600,"FEMALE","Gentoo"
"26","Biscoe",44.8,13.95,211.5,4550,"FEMALE","Gentoo"
"27","Biscoe",45.55,13.7,213.5,4700,"FEMALE","Gentoo"
"28","Biscoe",47,14.45,209.5,4600,"FEMALE","Gentoo"
"29","Biscoe",46.25,14.1,213.5,4650,"FEMALE","Gentoo"
"30","Biscoe",47,14.6,210.5,4812.5,"FEMALE","Gentoo"
"31","Biscoe",45.25,14.95,213,4525,"FEMALE","Gentoo"
"32","Biscoe",46.8,14.6,208,4775,"FEMALE","Gentoo"
"33","Biscoe",46.85,14.55,215,4300,"FEMALE","Gentoo"
"34","Biscoe",45.15,14.4,213,4925,"FEMALE","Gentoo"
"35","Biscoe",45.5,14.75,212,4800,"FEMALE","Gentoo"
"36","Biscoe",42.8,14.9,212.5,4550,"FEMALE","Gentoo"
"37","Biscoe",44.2,14.5,211,4875,"FEMALE","Gentoo"
"38","Biscoe",46.7,14.4,212,4750,"FEMALE","Gentoo"
"39","Biscoe",42.9,14.35,215.5,4825,"FEMALE","Gentoo"
"40","Biscoe",46.5,14.35,213,4762.5,"FEMALE","Gentoo"
"41","Biscoe",44.5,14.05,213,4612.5,"FEMALE","Gentoo"
"42","Biscoe",44.3,13.75,214,4825,"FEMALE","Gentoo"
"43","Biscoe",45.15,14.3,214,4625,"FEMALE","Gentoo"
"44","Biscoe",45.4,14.55,213,4675,"FEMALE","Gentoo"
"45","Biscoe",44.65,14.7,213,4675,"FEMALE","Gentoo"
"46","Biscoe",47.6,13.7,212,4725,"FEMALE","Gentoo"
"47","Biscoe",44.65,13.85,215,4650,"FEMALE","Gentoo"
"48","Biscoe",45.7,14.8,214.5,4500,"FEMALE","Gentoo"
"49","Biscoe",46.85,13.8,211,4812.5,"FEMALE","Gentoo"
"50","Biscoe",45.7,14.1,211.5,4875,"FEMALE","Gentoo"
"51","Biscoe",45.7,14.35,211.5,4925,"FEMALE","Gentoo"
"52","Biscoe",46.8,15,210,4537.5,"FEMALE","Gentoo"
"53","Biscoe",44.9,14.15,215.5,4637.5,"FEMALE","Gentoo"
"54","Biscoe",44.55,14.6,211.5,4875,"FEMALE","Gentoo"
"55","Biscoe",44.5,14.95,209.5,4550,"FEMALE","Gentoo"
"56","Biscoe",44.55,14.3,213,4800,"FEMALE","Gentoo"
"57","Biscoe",46,14.05,211.5,4550,"FEMALE","Gentoo"
"58","Biscoe",44.1,14.8,210.5,4725,"FEMALE","Gentoo"
"59","Biscoe",46.2,14.3,210,4850,"FEMALE","Gentoo"
"60","Biscoe",43.4,14.75,211,4287.5,"FEMALE","Gentoo"
"61","Biscoe",45.75,13.55,214,4750,"FEMALE","Gentoo"
"62","Biscoe",47,14.7,213,4487.5,"FEMALE","Gentoo"
"63","Biscoe",44.7,14.4,211.5,4525,"FEMALE","Gentoo"
"64","Biscoe",46,13.9,211,4975,"FEMALE","Gentoo"
"65","Biscoe",49.35,14.05,213,4925,"FEMALE","Gentoo"
"66","Biscoe",43.35,14.85,213.5,4987.5,"FEMALE","Gentoo"
"67","Biscoe",45.95,13.9,212.5,4750,"FEMALE","Gentoo"
"68","Biscoe",45.5,14.05,219.5,4675,"FEMALE","Gentoo"
"69","Biscoe",46.15,13.45,211.5,4512.5,"FEMALE","Gentoo"
"70","Biscoe",44.35,14.2,211,4425,"FEMALE","Gentoo"
"71","Biscoe",45.15,14.9,215,4400,"FEMALE","Gentoo"
"72","Biscoe",44.9,14,211.5,4275,"FEMALE","Gentoo"
"73","Biscoe",45.8,14.45,207.5,4700,"FEMALE","Gentoo"
"74","Biscoe",46.65,14.65,211,4275,"FEMALE","Gentoo"
"75","Biscoe",48.65,14.7,217.5,4550,"FEMALE","Gentoo"
"76","Biscoe",47.9,14.1,211,4900,"FEMALE","Gentoo"
"77","Biscoe",45.25,13.9,213.5,5025,"FEMALE","Gentoo"
"78","Biscoe",46.8,13.55,213,4712.5,"FEMALE","Gentoo"
"79","Biscoe",45.35,14.6,213.5,4625,"FEMALE","Gentoo"
"80","Biscoe",44.5,13.9,218,4525,"FEMALE","Gentoo"
"81","Biscoe",44.05,13.95,213,4950,"FEMALE","Gentoo"
"82","Biscoe",47,14.55,214.5,4587.5,"FEMALE","Gentoo"
"83","Biscoe",45,13.9,213.5,4712.5,"FEMALE","Gentoo"
