"","Island","Culmen Length (mm)","Culmen Depth (mm)","Flipper Length (mm)","Body Mass (g)","Sex","Species"
"1","Biscoe",50.5,15.8,221,5212.5,"MALE","Gentoo"
"2","Biscoe",49.85,15.35,225,5450,"MALE","Gentoo"
"3","Biscoe",48.95,15.3,225,5425,"MALE","Gentoo"
"4","Biscoe",50.45,16.1,218.5,5450,"MALE","Gentoo"
"5","Biscoe",50.75,16.6,218.5,5325,"MALE","Gentoo"
"6","Biscoe",49.3,16.05,219.5,5650,"MALE","Gentoo"
"7","Biscoe",47.8,15.5,224.5,5200,"MALE","Gentoo"
"8","Biscoe",50.25,14.85,218,5275,"MALE","Gentoo"
"9","Biscoe",49.25,15.4,224,5050,"MALE","Gentoo"
"10","Biscoe",44.7,14.7,225.5,5275,"MALE","Gentoo"
"11","Biscoe",47.55,15.45,222.5,4962.5,"MALE","Gentoo"
"12","Biscoe",47.7,15.15,220.5,5200,"MALE","Gentoo"
"13","Biscoe",53,14.6,215.5,5325,"MALE","Gentoo"
"14","Biscoe",48.45,15.05,223.5,5350,"MALE","Gentoo"
"15","Biscoe",50,15.95,222.5,5550,"MALE","Gentoo"
"16","Biscoe",54.05,15.75,225,5275,"MALE","Gentoo"
"17","Biscoe",48.05,14.95,222,5475,"MALE","Gentoo"
"18","Biscoe",47.65,14.85,225.5,5425,"MALE","Gentoo"
"19","Biscoe",47.2,16.75,221,5475,"MALE","Gentoo"
"20","Biscoe",49.4,15.65,224,5250,"MALE","Gentoo"
"21","Biscoe",50.6,16.6,225,5625,"MALE","Gentoo"
"22","Biscoe",46.7,15,217.5,5450,"MALE","Gentoo"
"23","Biscoe",47.85,15.2,227.5,5525,"MALE","Gentoo"
"24","Biscoe",49.7,15.2,219,5400,"MALE","Gentoo"
"25","Biscoe",50.45,15.15,227.5,5600,"MALE","Gentoo"
"26","Biscoe",49.5,16.95,222,5925,"MALE","Gentoo"
"27","Biscoe",48.95,15.45,220.5,5450,"MALE","Gentoo"
"28","Biscoe",49.95,15.65,217.5,5325,"MALE","Gentoo"
"29","Biscoe",50.2,16.3,217.5,5575,"MALE","Gentoo"
"30","Biscoe",50.2,15.15,224,5625,"MALE","Gentoo"
"31","Biscoe",51.05,16.05,222,5750,"MALE","Gentoo"
"32","Biscoe",50.95,16.05,221,5450,"MALE","Gentoo"
"33","Biscoe",49.2,15.85,222,5450,"MALE","Gentoo"
"34","Biscoe",48.15,16.05,221.5,5275,"MALE","Gentoo"
"35","Biscoe",50.4,15.6,220,5125,"MALE","Gentoo"
"36","Biscoe",50.45,15.45,214.5,5450,"MALE","Gentoo"
"37","Biscoe",48.7,14.95,218.5,5475,"MALE","Gentoo"
"38","Biscoe",53.1,16.4,224,5025,"MALE","Gentoo"
"39","Biscoe",49.35,16,215,5675,"MALE","Gentoo"
"40","Biscoe",50.75,15.85,219.5,5150,"MALE","Gentoo"
"41","Biscoe",48.4,15.6,219,5775,"MALE","Gentoo"
"42","Biscoe",49.05,16.45,222.5,5100,"MALE","Gentoo"
"43","Biscoe",54.8,15.7,215,5050,"MALE","Gentoo"
"44","Biscoe",46.5,15.7,211,5425,"MALE","Gentoo"
"45","Biscoe",48.4,15.45,208.5,5200,"MALE","Gentoo"
"46","Biscoe",51.9,14.55,215.5,5475,"MALE","Gentoo"
"47","Biscoe",49.45,15,218.5,5500,"MALE","Gentoo"
"48","Biscoe",49.4,15.9,220.5,5150,"MALE","Gentoo"
"49","Biscoe",50.45,15.8,220,5725,"MALE","Gentoo"
"50","Biscoe",47.75,15.55,219,5900,"MALE","Gentoo"
"51","Biscoe",47.85,14.95,218,5975,"MALE","Gentoo"
"52","Biscoe",48.55,16.15,220.5,5725,"MALE","Gentoo"
"53","Biscoe",47.65,15.55,221.5,5450,"MALE","Gentoo"
"54","Biscoe",53.2,15.05,230.5,5825,"MALE","Gentoo"
"55","Biscoe",49.6,15.85,223,5575,"MALE","Gentoo"
"56","Biscoe",49.7,15.75,224,5500,"MALE","Gentoo"
"57","Biscoe",51.85,15.55,219,5775,"MALE","Gentoo"
"58","Biscoe",50,15.6,214,5550,"MALE","Gentoo"
"59","Biscoe",47.55,15.1,219.5,5425,"MALE","Gentoo"
"60","Biscoe",49.25,15.4,215,5350,"MALE","Gentoo"
"61","Biscoe",47.95,16.25,222.5,5225,"MALE","Gentoo"
"62","Biscoe",50.35,15.8,222.5,5700,"MALE","Gentoo"
"63","Biscoe",46.9,15.9,225,5275,"MALE","Gentoo"
"64","Biscoe",47.95,15,217,5900,"MALE","Gentoo"
"65","Biscoe",51.1,15.8,223,5575,"MALE","Gentoo"
"66","Biscoe",48.75,16.35,216,5175,"MALE","Gentoo"
"67","Biscoe",53.85,16,219,5425,"MALE","Gentoo"
"68","Biscoe",46.3,15.55,216,5225,"MALE","Gentoo"
"69","Biscoe",49.25,15.95,223,5900,"MALE","Gentoo"
"70","Biscoe",48.85,15.2,221,5350,"MALE","Gentoo"
"71","Biscoe",53.3,15.65,211.5,5550,"MALE","Gentoo"
"72","Biscoe",49.25,15.9,218.5,5425,"MALE","Gentoo"
"73","Biscoe",50.55,16.15,226.5,5225,"MALE","Gentoo"
