"","Island","Culmen Length (mm)","Culmen Depth (mm)","Flipper Length (mm)","Body Mass (g)","Sex"
"1","Biscoe",46.1,13.2,211,4500,"FEMALE"
"2","Biscoe",48.7,14.1,210,4450,"FEMALE"
"3","Biscoe",46.5,13.5,210,4550,"FEMALE"
"4","Biscoe",45.4,14.6,211,4800,"FEMALE"
"5","Biscoe",43.3,13.4,209,4400,"FEMALE"
"6","Biscoe",40.9,13.7,214,4650,"FEMALE"
"7","Biscoe",45.5,13.7,214,4650,"FEMALE"
"8","Biscoe",45.8,14.6,210,4200,"FEMALE"
"9","Biscoe",42,13.5,210,4150,"FEMALE"
"10","Biscoe",46.2,14.5,209,4800,"FEMALE"
"11","Biscoe",45.1,14.5,215,5000,"FEMALE"
"12","Biscoe",46.5,14.5,213,4400,"FEMALE"
"13","Biscoe",42.9,13.1,215,5000,"FEMALE"
"14","Biscoe",48.2,14.3,210,4600,"FEMALE"
"15","Biscoe",42.8,14.2,209,4700,"FEMALE"
"16","Biscoe",45.1,14.5,207,5050,"FEMALE"
"17","Biscoe",49.1,14.8,220,5150,"FEMALE"
"18","Biscoe",42.6,13.7,213,4950,"FEMALE"
"19","Biscoe",44,13.6,208,4350,"FEMALE"
"20","Biscoe",42.7,13.7,208,3950,"FEMALE"
"21","Biscoe",45.3,13.7,210,4300,"FEMALE"
"22","Biscoe",43.6,13.9,217,4900,"FEMALE"
"23","Biscoe",45.5,13.9,210,4200,"FEMALE"
"24","Biscoe",44.9,13.3,213,5100,"FEMALE"
"25","Biscoe",46.6,14.2,210,4850,"FEMALE"
"26","Biscoe",45.1,14.4,210,4400,"FEMALE"
"27","Biscoe",46.5,14.4,217,4900,"FEMALE"
"28","Biscoe",43.8,13.9,208,4300,"FEMALE"
"29","Biscoe",43.2,14.5,208,4450,"FEMALE"
"30","Biscoe",45.3,13.8,208,4200,"FEMALE"
"31","Biscoe",45.7,13.9,214,4400,"FEMALE"
"32","Biscoe",45.8,14.2,219,4700,"FEMALE"
"33","Biscoe",43.5,14.2,220,4700,"FEMALE"
"34","Biscoe",47.7,15,216,4750,"FEMALE"
"35","Biscoe",46.5,14.8,217,5200,"FEMALE"
"36","Biscoe",46.4,15,216,4700,"FEMALE"
"37","Biscoe",47.5,14.2,209,4600,"FEMALE"
"38","Biscoe",45.2,13.8,215,4750,"FEMALE"
"39","Biscoe",49.1,14.5,212,4625,"FEMALE"
"40","Biscoe",47.4,14.6,212,4725,"FEMALE"
"41","Biscoe",44.9,13.8,212,4750,"FEMALE"
"42","Biscoe",43.4,14.4,218,4600,"FEMALE"
"43","Biscoe",47.5,14,212,4875,"FEMALE"
"44","Biscoe",47.5,15,218,4950,"FEMALE"
"45","Biscoe",45.5,14.5,212,4750,"FEMALE"
"46","Biscoe",44.5,14.7,214,4850,"FEMALE"
"47","Biscoe",46.9,14.6,222,4875,"FEMALE"
"48","Biscoe",48.4,14.4,203,4625,"FEMALE"
"49","Biscoe",48.5,15,219,4850,"FEMALE"
"50","Biscoe",47.2,15.5,215,4975,"FEMALE"
"51","Biscoe",41.7,14.7,210,4700,"FEMALE"
"52","Biscoe",43.3,14,208,4575,"FEMALE"
"53","Biscoe",50.5,15.2,216,5000,"FEMALE"
"54","Biscoe",43.5,15.2,213,4650,"FEMALE"
"55","Biscoe",46.2,14.1,217,4375,"FEMALE"
"56","Biscoe",47.2,13.7,214,4925,"FEMALE"
"57","Biscoe",46.8,14.3,215,4850,"FEMALE"
"58","Biscoe",45.2,14.8,212,5200,"FEMALE"
