"","Island","Culmen Length (mm)","Culmen Depth (mm)","Flipper Length (mm)","Body Mass (g)","Sex"
"1","Biscoe",50,16.3,230,5700,"MALE"
"2","Biscoe",50,15.2,218,5700,"MALE"
"3","Biscoe",47.6,14.5,215,5400,"MALE"
"4","Biscoe",46.7,15.3,219,5200,"MALE"
"5","Biscoe",46.8,15.4,215,5150,"MALE"
"6","Biscoe",49,16.1,216,5550,"MALE"
"7","Biscoe",48.4,14.6,213,5850,"MALE"
"8","Biscoe",49.3,15.7,217,5850,"MALE"
"9","Biscoe",49.2,15.2,221,6300,"MALE"
"10","Biscoe",48.7,15.1,222,5350,"MALE"
"11","Biscoe",50.2,14.3,218,5700,"MALE"
"12","Biscoe",46.3,15.8,215,5050,"MALE"
"13","Biscoe",46.1,15.1,215,5100,"MALE"
"14","Biscoe",47.8,15,215,5650,"MALE"
"15","Biscoe",50,15.3,220,5550,"MALE"
"16","Biscoe",47.3,15.3,222,5250,"MALE"
"17","Biscoe",59.6,17,230,6050,"MALE"
"18","Biscoe",48.4,16.3,220,5400,"MALE"
"19","Biscoe",44.4,17.3,219,5250,"MALE"
"20","Biscoe",48.7,15.7,208,5350,"MALE"
"21","Biscoe",49.6,16,225,5700,"MALE"
"22","Biscoe",49.6,15,216,4750,"MALE"
"23","Biscoe",50.5,15.9,222,5550,"MALE"
"24","Biscoe",50.5,15.9,225,5400,"MALE"
"25","Biscoe",45.2,15.8,215,5300,"MALE"
"26","Biscoe",48.5,14.1,220,5300,"MALE"
"27","Biscoe",50.1,15,225,5000,"MALE"
"28","Biscoe",45,15.4,220,5050,"MALE"
"29","Biscoe",45.5,15,220,5000,"MALE"
"30","Biscoe",50.4,15.3,224,5550,"MALE"
"31","Biscoe",46.2,14.9,221,5300,"MALE"
"32","Biscoe",54.3,15.7,231,5650,"MALE"
"33","Biscoe",49.8,16.8,230,5700,"MALE"
"34","Biscoe",49.5,16.2,229,5800,"MALE"
"35","Biscoe",50.7,15,223,5550,"MALE"
"36","Biscoe",46.4,15.6,221,5000,"MALE"
"37","Biscoe",48.2,15.6,221,5100,"MALE"
"38","Biscoe",48.6,16,230,5800,"MALE"
"39","Biscoe",51.1,16.3,220,6000,"MALE"
"40","Biscoe",45.2,16.4,223,5950,"MALE"
"41","Biscoe",52.5,15.6,221,5450,"MALE"
"42","Biscoe",50,15.9,224,5350,"MALE"
"43","Biscoe",50.8,17.3,228,5600,"MALE"
"44","Biscoe",51.3,14.2,218,5300,"MALE"
"45","Biscoe",52.1,17,230,5550,"MALE"
"46","Biscoe",52.2,17.1,228,5400,"MALE"
"47","Biscoe",49.5,16.1,224,5650,"MALE"
"48","Biscoe",50.8,15.7,226,5200,"MALE"
"49","Biscoe",49.4,15.8,216,4925,"MALE"
"50","Biscoe",51.1,16.5,225,5250,"MALE"
"51","Biscoe",55.9,17,228,5600,"MALE"
"52","Biscoe",49.1,15,228,5500,"MALE"
"53","Biscoe",46.8,16.1,215,5500,"MALE"
"54","Biscoe",53.4,15.8,219,5500,"MALE"
"55","Biscoe",48.1,15.1,209,5500,"MALE"
"56","Biscoe",49.8,15.9,229,5950,"MALE"
"57","Biscoe",51.5,16.3,230,5500,"MALE"
"58","Biscoe",55.1,16,230,5850,"MALE"
"59","Biscoe",48.8,16.2,222,6000,"MALE"
"60","Biscoe",50.4,15.7,222,5750,"MALE"
"61","Biscoe",49.9,16.1,213,5400,"MALE"
