"","Island","Culmen Length (mm)","Culmen Depth (mm)","Flipper Length (mm)","Body Mass (g)","Sex","Species","art_predictions","sex_predictions"
"1","Biscoe",36,17.9,186.5,3125,"FEMALE","Adelie","Adelie","FEMALE"
"2","Biscoe",37,18.1,185.5,3225,"FEMALE","Adelie","Adelie","FEMALE"
"3","Dream",36.9,17.1,195.5,3237.5,"FEMALE","Adelie","Adelie","FEMALE"
"4","Torgersen",37,16.9,187.5,3475,"FEMALE","Adelie","Adelie","FEMALE"
"5","Torgersen",37.35,18.55,183,3225,"FEMALE","Adelie","Adelie","FEMALE"
"6","Dream",37,18.45,190,3250,"FEMALE","Adelie","Adelie","FEMALE"
"7","Dream",37.65,17,193,3200,"FEMALE","Adelie","Adelie","FEMALE"
"8","Dream",36.55,19.65,182,3250,"FEMALE","Adelie","Adelie","FEMALE"
"9","Torgersen",37.7,16.55,191.5,3512.5,"FEMALE","Adelie","Adelie","FEMALE"
"10","Torgersen",36,18.25,189.5,3275,"FEMALE","Adelie","Adelie","FEMALE"
"11","Dream",35.95,17.25,191.5,3125,"FEMALE","Adelie","Adelie","FEMALE"
"12","Torgersen",35.95,17.8,184,3300,"FEMALE","Adelie","Adelie","FEMALE"
"13","Dream",35.6,16.95,187,3425,"FEMALE","Adelie","Adelie","FEMALE"
"14","Dream",36.95,17.7,186,3375,"FEMALE","Adelie","Adelie","FEMALE"
"15","Dream",39.55,17.9,192,3150,"FEMALE","Adelie","Adelie","FEMALE"
"16","Dream",38.85,17.9,190,3550,"FEMALE","Adelie","Adelie","FEMALE"
"17","Biscoe",33.9,18,192,3750,"FEMALE","Adelie","Adelie","FEMALE"
"18","Dream",36.1,17.4,184,3287.5,"FEMALE","Adelie","Adelie","FEMALE"
"19","Biscoe",38.15,17.4,190,3425,"FEMALE","Adelie","Adelie","FEMALE"
"20","Torgersen",37.1,18.45,187,3550,"FEMALE","Adelie","Adelie","FEMALE"
"21","Dream",34.25,18.6,182.5,3750,"FEMALE","Adelie","Adelie","FEMALE"
"22","Dream",38.55,17.7,184.5,3600,"FEMALE","Adelie","Adelie","FEMALE"
"23","Dream",35.8,17.05,186.5,3150,"FEMALE","Adelie","Adelie","FEMALE"
"24","Torgersen",35.7,16.5,185.5,3275,"FEMALE","Adelie","Adelie","FEMALE"
"25","Biscoe",36,17.45,186,3412.5,"FEMALE","Adelie","Adelie","FEMALE"
"26","Dream",37.25,16.7,178.5,3625,"FEMALE","Adelie","Adelie","FEMALE"
"27","Dream",37.05,17.6,188.5,3350,"FEMALE","Adelie","Adelie","FEMALE"
"28","Dream",37.85,17.6,191.5,3487.5,"FEMALE","Adelie","Adelie","FEMALE"
"29","Torgersen",38.25,17.8,189.5,3400,"FEMALE","Adelie","Adelie","FEMALE"
"30","Biscoe",36.2,19.3,192.5,3200,"FEMALE","Adelie","Adelie","FEMALE"
"31","Dream",38.1,17,189,3100,"FEMALE","Adelie","Adelie","FEMALE"
"32","Dream",39.2,19.35,184,3600,"FEMALE","Adelie","Adelie","MALE"
"33","Torgersen",35.5,17.7,187,3337.5,"FEMALE","Adelie","Adelie","FEMALE"
"34","Biscoe",38.4,17.25,184.5,3300,"FEMALE","Adelie","Adelie","FEMALE"
"35","Torgersen",34.7,17.4,190,3500,"FEMALE","Adelie","Adelie","FEMALE"
"36","Torgersen",37.4,17.25,182.5,3275,"FEMALE","Adelie","Adelie","FEMALE"
"37","Torgersen",40.45,17.1,185.5,3262.5,"FEMALE","Adelie","Adelie","FEMALE"
"38","Biscoe",38.05,18.1,181.5,3262.5,"FEMALE","Adelie","Adelie","FEMALE"
"39","Dream",35.5,17.6,188.5,3475,"FEMALE","Adelie","Adelie","FEMALE"
"40","Biscoe",40.2,17.45,186,3287.5,"FEMALE","Adelie","Adelie","FEMALE"
"41","Biscoe",36.3,17.85,188.5,3025,"FEMALE","Adelie","Adelie","FEMALE"
"42","Dream",37.05,17.85,181,3500,"FEMALE","Adelie","Adelie","FEMALE"
"43","Dream",35.25,17.2,191,3300,"FEMALE","Adelie","Adelie","FEMALE"
"44","Biscoe",38.6,18.75,184,3275,"FEMALE","Adelie","Adelie","FEMALE"
"45","Torgersen",37.05,17.25,190,3062.5,"FEMALE","Adelie","Adelie","FEMALE"
"46","Dream",34.05,17.65,183.5,3425,"FEMALE","Adelie","Adelie","FEMALE"
"47","Dream",36.6,18,189,3450,"FEMALE","Adelie","Adelie","FEMALE"
"48","Biscoe",36.65,17.45,181,3337.5,"FEMALE","Adelie","Adelie","FEMALE"
"49","Torgersen",38.1,17.75,190,3112.5,"FEMALE","Adelie","Adelie","FEMALE"
"50","Dream",37.85,17.25,185.5,3537.5,"FEMALE","Adelie","Adelie","FEMALE"
"51","Biscoe",35,18.05,190,3375,"FEMALE","Adelie","Adelie","FEMALE"
"52","Biscoe",36.8,17.8,192.5,3475,"FEMALE","Adelie","Adelie","FEMALE"
"53","Dream",37.7,17.85,184,3550,"FEMALE","Adelie","Adelie","FEMALE"
"54","Dream",37.2,18.95,197,3225,"FEMALE","Adelie","Adelie","FEMALE"
"55","Torgersen",38.1,17.05,186.5,3700,"FEMALE","Adelie","Adelie","FEMALE"
"56","Biscoe",37.15,17.5,186.5,3312.5,"FEMALE","Adelie","Adelie","FEMALE"
"57","Torgersen",39.9,17.55,188,3225,"FEMALE","Adelie","Adelie","FEMALE"
"58","Biscoe",38.95,18.85,190.5,3075,"FEMALE","Adelie","Adelie","FEMALE"
"59","Dream",36.55,16.9,192,3337.5,"FEMALE","Adelie","Adelie","FEMALE"
"60","Torgersen",37.75,18.25,189.5,3375,"FEMALE","Adelie","Adelie","FEMALE"
"61","Dream",38.75,16.85,188,3475,"FEMALE","Adelie","Adelie","FEMALE"
"62","Dream",37.55,18.3,190,3400,"FEMALE","Adelie","Adelie","FEMALE"
"63","Dream",36.25,17,191,3550,"FEMALE","Adelie","Adelie","FEMALE"
"64","Torgersen",36.65,17.5,186.5,3312.5,"FEMALE","Adelie","Adelie","FEMALE"
"65","Biscoe",38.7,17.3,186,2975,"FEMALE","Adelie","Adelie","FEMALE"
"66","Biscoe",37.4,17.9,188,3400,"FEMALE","Adelie","Adelie","FEMALE"
"67","Dream",36.8,16.05,189.5,3537.5,"FEMALE","Adelie","Adelie","FEMALE"
"68","Dream",38.8,17.55,182.5,3437.5,"FEMALE","Adelie","Adelie","FEMALE"
"69","Dream",36.9,17.2,187,3675,"FEMALE","Adelie","Adelie","FEMALE"
"70","Torgersen",38.15,18.9,188,3400,"FEMALE","Adelie","Adelie","FEMALE"
"71","Torgersen",37.65,18.4,185.5,3250,"FEMALE","Adelie","Adelie","FEMALE"
