"","Species","Island","Culmen Length (mm)","Culmen Depth (mm)","Flipper Length (mm)","Body Mass (g)","Sex","predictions"
"1","Adelie","Torgersen",39.1,18.7,181,3750,"MALE","Adelie"
"2","Adelie","Torgersen",39.5,17.4,186,3800,"FEMALE","Adelie"
"3","Adelie","Torgersen",40.3,18,195,3250,"FEMALE","Adelie"
"4","Adelie","Torgersen",36.7,19.3,193,3450,"FEMALE","Adelie"
"5","Adelie","Torgersen",39.3,20.6,190,3650,"MALE","Adelie"
"6","Adelie","Torgersen",38.9,17.8,181,3625,"FEMALE","Adelie"
"7","Adelie","Torgersen",39.2,19.6,195,4675,"MALE","Adelie"
"8","Adelie","Torgersen",41.1,17.6,182,3200,"FEMALE","Adelie"
"9","Adelie","Torgersen",38.6,21.2,191,3800,"MALE","Adelie"
"10","Adelie","Torgersen",34.6,21.1,198,4400,"MALE","Adelie"
"11","Adelie","Torgersen",36.6,17.8,185,3700,"FEMALE","Adelie"
"12","Adelie","Torgersen",38.7,19,195,3450,"FEMALE","Adelie"
"13","Adelie","Torgersen",42.5,20.7,197,4500,"MALE","Adelie"
"14","Adelie","Torgersen",34.4,18.4,184,3325,"FEMALE","Adelie"
"15","Adelie","Torgersen",46,21.5,194,4200,"MALE","Adelie"
"16","Adelie","Biscoe",37.8,18.3,174,3400,"FEMALE","Adelie"
"17","Adelie","Biscoe",37.7,18.7,180,3600,"MALE","Adelie"
"18","Adelie","Biscoe",35.9,19.2,189,3800,"FEMALE","Adelie"
"19","Adelie","Biscoe",38.2,18.1,185,3950,"MALE","Adelie"
"20","Adelie","Biscoe",38.8,17.2,180,3800,"MALE","Adelie"
"21","Adelie","Biscoe",35.3,18.9,187,3800,"FEMALE","Adelie"
"22","Adelie","Biscoe",40.6,18.6,183,3550,"MALE","Adelie"
"23","Adelie","Biscoe",40.5,17.9,187,3200,"FEMALE","Adelie"
"24","Adelie","Biscoe",37.9,18.6,172,3150,"FEMALE","Adelie"
"25","Adelie","Biscoe",40.5,18.9,180,3950,"MALE","Adelie"
"26","Adelie","Dream",39.5,16.7,178,3250,"FEMALE","Adelie"
"27","Adelie","Dream",37.2,18.1,178,3900,"MALE","Adelie"
"28","Adelie","Dream",39.5,17.8,188,3300,"FEMALE","Adelie"
"29","Adelie","Dream",40.9,18.9,184,3900,"MALE","Adelie"
"30","Adelie","Dream",36.4,17,195,3325,"FEMALE","Adelie"
"31","Adelie","Dream",39.2,21.1,196,4150,"MALE","Adelie"
"32","Adelie","Dream",38.8,20,190,3950,"MALE","Adelie"
"33","Adelie","Dream",42.2,18.5,180,3550,"FEMALE","Adelie"
"34","Adelie","Dream",37.6,19.3,181,3300,"FEMALE","Adelie"
"35","Adelie","Dream",39.8,19.1,184,4650,"MALE","Adelie"
"36","Adelie","Dream",36.5,18,182,3150,"FEMALE","Adelie"
"37","Adelie","Dream",40.8,18.4,195,3900,"MALE","Adelie"
"38","Adelie","Dream",36,18.5,186,3100,"FEMALE","Adelie"
